location_name,cause_name,measure,number_change_1990_2019,age_structure_contribution,age_structure_contribution_Q1,age_structure_contribution_Q3,population_size_contribution,population_size_contribution_Q1,population_size_contribution_Q3,all_other_reasons_contribution,all_other_reasons_contribution_Q1,all_other_reasons_contribution_Q3,number_attributed_to_age_structure,number_attributed_to_age_structure_Q1,number_attributed_to_age_structure_Q3,number_attributed_to_population_size,number_attributed_to_population_size_Q1,number_attributed_to_population_size_Q3,number_attributed_to_all_other_reasons,number_attributed_to_all_other_reasons_Q1,number_attributed_to_all_other_reasons_Q3
Slovenia,Neglected tropical diseases and malaria,DALYs,-178.2,27.3,26.2,28.1,20.1,19.6,21.6,52.6,50.2,54.3,-48.6,-46.6,-50.1,-35.9,-34.9,-38.6,-93.7,-89.5,-96.7
Slovenia,Maternal and neonatal disorders,DALYs,-6171.7,31.2,28.4,32.6,24.7,20.8,26.6,44.1,40.8,50.7,-1928,-1755,-2014.6,-1521.7,-1285.5,-1640.1,-2722,-2517.1,-3131.3
Slovenia,Nutritional deficiencies,DALYs,-1315.9,17.3,10.8,21.2,3.2,-10.9,6.9,79.5,100.1,71.9,-228.2,-141.7,-279.5,-41.6,-90.5,143,-1046.1,-1317.2,-945.9
Slovenia,Non-communicable diseases,DALYs,21841.1,45.8,44.9,46.9,35.5,35.1,35.1,18.7,18,20,10003.6,10246.6,9808.7,7748.2,7660.4,7668.3,4089.3,3926.2,4372
Slovenia,Neoplasms,DALYs,26029.7,61,56.6,67.2,32.1,28.8,31.2,7,12.1,4,15869.9,14743.8,17497.7,8349.9,7499.1,8125.9,1809.9,1033,3159.9
Slovenia,Cardiovascular diseases,DALYs,-40570.1,41.9,41.5,42.4,35.5,34.7,35.5,22.6,22.1,23.8,-17006.7,-16846.2,-17213,-14401.5,-14087.3,-14392.9,-9162,-8964.2,-9636.6
Slovenia,Chronic respiratory diseases,DALYs,-2256.9,42.8,42.3,43.4,35.4,35,35.1,21.8,21.7,22.6,-965.7,-953.9,-978.9,-798.1,-789.3,-793.1,-493.1,-488.8,-509.9
Slovenia,Digestive diseases,DALYs,-9184.5,48.2,47,49.6,38.2,38.1,38.9,13.6,11.6,14.8,-4427.4,-4321.2,-4551.9,-3507.1,-3501,-3568.3,-1250,-1064.4,-1362.3
Slovenia,Neurological disorders,DALYs,13020.2,110.3,-289.7,467,12.8,-178.1,124,-23.1,-188.8,265.7,14366,-37713.2,60798.9,1668.3,-23191.3,16139.8,-3014.1,-24587.3,34593.7
Slovenia,Mental disorders,DALYs,870.5,61.5,102.4,49.9,64.2,111.8,44.6,-25.7,-114.2,5.5,535.3,434.3,891.7,558.7,388.4,973,-223.6,-994.2,47.8
Slovenia,Substance use disorders,DALYs,5759.2,94.2,-467.3,589.1,139,-752.1,756.7,-133.2,-1245.8,1319.4,5425.3,-26911.9,33926.3,8006.5,-43315.5,43581.5,-7672.5,-71748.6,75986.6
Slovenia,Diabetes and kidney diseases,DALYs,10278.2,60.9,55.7,69.7,25.3,18.5,27.3,13.8,11.8,16.9,6262.1,5728.2,7163.1,2598.2,1905.9,2809.8,1417.9,1209.2,1740.3
Slovenia,Skin and subcutaneous diseases,DALYs,432.8,22.9,-36.6,80.5,64.8,-104.3,371.5,12.4,-234.9,123.8,98.9,-158.3,348.2,280.4,-451.4,1607.6,53.5,-1016.5,536
Slovenia,Musculoskeletal disorders,DALYs,11616.2,86.2,161.3,66.5,10.9,-30.4,23.7,2.9,-30.8,9.8,10013.4,18731.7,7725.1,1262.2,-3532.3,2750,340.6,-3583.2,1141.1
Slovenia,Injuries,DALYs,-30198.3,-129.2,-1156.1,1519.9,-85.3,-612.5,955.8,314.5,-2375.7,1868.6,39024,-458993.2,349129.1,25751.9,-288623.6,184967.8,-94974.2,-564295.3,717418.5
Slovenia,Transport injuries,DALYs,-20641.2,12.4,15,9.1,10.8,10.8,7.1,76.8,74.2,83.8,-2563.9,-1884,-3105.3,-2224.7,-1468.8,-2222,-15852.6,-15313.9,-17288.4
Slovenia,Self-harm and interpersonal violence,DALYs,-14336.7,-86.3,-719.9,800.3,-87.9,-770,834.6,274.2,-1534.9,1589.9,12376.7,-114741.4,103202.9,12601.8,-119652.3,110392.2,-39315.1,-227931.8,220057
Slovenia,Unintentional injuries,DALYs,4779.5,68.8,60.6,85.4,36.5,33.8,37.2,-5.3,-22.6,5.6,3289.7,2897.2,4079.7,1744.3,1616.8,1778,-254.5,-1078.2,265.5
Slovenia,Sense organ diseases,DALYs,7027.7,68.1,59.7,84.7,21.9,11.8,26.9,10,13.5,3.5,4782.7,4192.5,5953,1540.5,1889,829.2,704.5,245.6,946.2
Belarus,All causes,DALYs,-183792.3,184.2,-1525.6,1385.6,-36.2,-443.6,637.1,-48,-842,988.5,-338598.1,-2546692.6,2803941.5,66624.3,-1170864.2,815323.7,88181.5,-1816869.6,1547576.6
Belarus,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-115204.4,26.9,23,29.1,29.7,28.8,30.2,43.4,40.7,48.1,-30986.7,-26548.7,-33526.7,-34171.9,-33186.6,-34800.7,-50045.8,-46877,-55469.1
Belarus,HIV/AIDS and sexually transmitted infections,DALYs,10551.3,58.5,-473.2,513.3,82,-816,904.2,-40.5,-1317.5,1389.2,6172.2,-49933,54155.2,8655,-86094.1,95406,-4275.9,-139009.8,146578.5
Belarus,Respiratory infections and tuberculosis,DALYs,-30529.4,23.4,19.1,25.9,30.7,28.3,30.1,45.9,44,52.6,-7147,-5833.4,-7901.2,-9365.1,-8626.2,-9197.1,-14017.3,-13431.1,-16069.8
Belarus,Enteric infections,DALYs,-4647.1,30,28.2,31.2,34.4,31.9,33.1,35.7,36.9,38.7,-1393.2,-1309.4,-1450.7,-1596.6,-1483,-1537.4,-1657.3,-1713.3,-1800.3
Belarus,Neglected tropical diseases and malaria,DALYs,-1292.4,81.2,100.7,70.8,34.4,36.8,37,-15.5,-37.4,-7.8,-1049.3,-1300.9,-915,-444.1,-475.2,-478.2,200.9,100.8,483.7
Belarus,Maternal and neonatal disorders,DALYs,-66531.6,29.5,25.8,31.3,27.8,25.1,28.8,42.7,39.9,49.2,-19640.1,-17136.4,-20827.6,-18463.9,-16681.6,-19146.8,-28427.6,-26557.3,-32713.6
Belarus,Nutritional deficiencies,DALYs,-12291.2,-75.9,-20.9,-391.4,-13.8,-108.4,10.5,189.6,110.4,599.8,9323.9,2563.7,48106.5,1692.5,-1288.6,13326.3,-23307.7,-13566.3,-73724
Belarus,Non-communicable diseases,DALYs,113718.8,92.9,140.5,75,7.6,-29.8,14.6,-0.4,-10.7,10.3,105609.5,159783.3,85331.6,8616.2,-33898.6,16658.7,-507,-12165.9,11728.5
Belarus,Neoplasms,DALYs,-58517.1,73.4,64.7,89.8,24.7,17.1,28.2,1.8,-7,7.1,-42968.5,-37875.8,-52561.7,-14477.9,-10031.2,-16474.3,-1070.8,-4167,4075.8
Belarus,Cardiovascular diseases,DALYs,183637.6,86.7,123.4,71.4,1.6,-27.8,14.9,11.7,13.7,4.4,159126.8,131137.4,226556.8,2988.3,-50988.8,27366.4,21522.5,25133.9,8069.6
Belarus,Chronic respiratory diseases,DALYs,-95866,44.7,43.8,45.9,37.1,36.2,37.1,18.3,17,20,-42820.1,-42008.3,-44003.3,-35528.6,-34706.5,-35545.8,-17517.3,-16316.9,-19151.2
Belarus,Digestive diseases,DALYs,53041.7,24.8,20.2,28.1,83.2,70.9,91.3,-8,-11.6,1,13133.8,10734.7,14894.5,44128,37618.2,48435.7,-4220.1,-6128.7,529
Belarus,Neurological disorders,DALYs,15309.9,-57.4,-544,426.3,116.1,-321.1,481.4,41.3,-5.2,162.6,-8789.8,-83286.6,65266.7,17778.6,-49157.6,73704.6,6321,-799.2,24891.9
Belarus,Mental disorders,DALYs,-7374.2,115.3,-737,930.7,-28.3,-1085.6,827.6,12.9,254.9,9.4,-8505.1,-68632.9,54346.4,2085,-61028.1,80053.1,-954.1,-18794.3,-692.5
Belarus,Substance use disorders,DALYs,42221.8,33.7,32.6,34.9,49.5,47.9,49,16.8,16.1,19.5,14228.9,13771.7,14732.4,20916.4,20215.8,20678.1,7076.5,6811.3,8234.3
Belarus,Diabetes and kidney diseases,DALYs,8840.5,153.6,-628.7,936.6,-59.6,-709.3,648.2,6.1,-127.4,80.5,13574.8,-55582.2,82803.8,-5269.8,-62704.1,57304.2,535.4,-11259.2,7118.5
Belarus,Skin and subcutaneous diseases,DALYs,-5323.9,45.2,-102.9,212.5,-0.3,-201.2,566.9,55.1,-364,88.7,-2404.2,-11315,5480,13.6,-30181.7,10713.8,-2933.3,-4722.7,19377.8
Belarus,Musculoskeletal disorders,DALYs,22723.8,160.1,-1481.7,1217.7,-98.1,-1260.1,1745,38,-163.2,142.4,36381.9,-336703,276715.6,-22296.1,-286352.3,396520.2,8638,-37093.4,32360.5
Belarus,Injuries,DALYs,-182306.8,12.6,15.3,8.9,31,29.8,32.1,56.4,52.6,61.3,-23000.8,-16181.6,-27877.9,-56439.6,-54327.4,-58559.2,-102866.4,-111797.8,-95869.6
Belarus,Transport injuries,DALYs,-98948.9,6,1,9.4,18.4,13.9,17.6,75.6,73,85,-5983.2,-1029.6,-9294.5,-18166,-13794.8,-17421.5,-74799.8,-72233,-84124.5
Belarus,Self-harm and interpersonal violence,DALYs,-20165.3,-9.1,-71.6,7.5,53.4,45.9,99.6,55.6,46.6,72,1829.8,-1516,14445.9,-10776.5,-20090.6,-9257.5,-11218.6,-14520.6,-9391.8
Belarus,Unintentional injuries,DALYs,-63192.5,18,15.9,19.8,35.2,32.9,35.9,46.8,44.4,51.2,-11397.2,-10048.8,-12498.9,-22239.7,-20786.3,-22659.4,-29555.6,-28034.2,-32357.4
Belarus,Sense organ diseases,DALYs,8623.1,82.3,116.4,68.5,7,-16.7,16.1,10.7,0.3,15.3,7093.6,10035,5908.9,607.4,-1437.5,1391,922.1,1323.2,25.5
Estonia,All causes,DALYs,-198544.8,61.5,58.7,65,29.1,26.8,29.5,9.3,11.7,8.2,-122203.8,-116636.2,-129069.6,-57843.1,-53254.3,-58614.9,-18497.8,-16220.9,-23293.8
Estonia,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-21030.7,26.8,25.7,27.8,30.6,30.7,30.9,42.6,41.3,43.6,-5645.7,-5403.6,-5853.8,-6431.8,-6458.1,-6497.2,-8953.2,-8679.7,-9168.9
Estonia,HIV/AIDS and sexually transmitted infections,DALYs,1768.9,19.7,17.1,21.4,14.7,10.2,17.6,65.6,61,72.6,348.7,302.5,379.2,260.2,181.3,310.6,1160.1,1079.1,1285.1
Estonia,Respiratory infections and tuberculosis,DALYs,-5591.5,10,13.1,6,32.3,31.4,31.8,57.6,55.1,62.6,-560.8,-335.6,-732.8,-1808.3,-1758.3,-1780.2,-3222.4,-3078.4,-3497.5
Estonia,Enteric infections,DALYs,-202.5,35.6,35,36.2,50.4,49.7,50.7,14,13,15.3,-72.2,-70.9,-73.4,-102,-100.6,-102.7,-28.4,-26.4,-31
Estonia,Neglected tropical diseases and malaria,DALYs,-129.2,-233.6,-1243.1,-62.3,139,535.9,77.3,194.6,807.2,85,301.9,1606.6,80.5,-179.6,-692.6,-99.9,-251.5,-1043.2,-109.9
Estonia,Maternal and neonatal disorders,DALYs,-12843.1,30.3,29.6,31,29.4,29,29.7,40.3,39.3,41.4,-3891.9,-3807.4,-3982.2,-3771.1,-3719.5,-3812.1,-5180.1,-5048.9,-5316.2
Estonia,Nutritional deficiencies,DALYs,-2500.7,-31.8,-19.4,-49.6,11.9,10.5,16.2,119.9,103.2,139.1,794.3,1239.7,484.8,-297.8,-261.6,-404.7,-2997.1,-2580.7,-3478.8
Estonia,Non-communicable diseases,DALYs,-95245.3,51.2,49.9,52.7,28.3,27.3,28.4,20.4,20,21.7,-48790.8,-47537.3,-50155.2,-26985.9,-26031.6,-27071.2,-19468.6,-19058.4,-20636.7
Estonia,Neoplasms,DALYs,-11867.2,252.7,-2441.7,2960.1,-54.5,-1165.8,1075.8,-98.2,-1694.3,1465.9,-29989.4,-351281.7,289763.9,6472.6,-127667.7,138343.3,11649.5,-173963.5,201071.2
Estonia,Cardiovascular diseases,DALYs,-84678.5,44.2,43.8,44.7,33,33.1,33.2,22.8,22.2,23.1,-37400.8,-37063,-37830.8,-27958.5,-28042.5,-28074.6,-19319.2,-18805.2,-19540.9
Estonia,Chronic respiratory diseases,DALYs,-2871.9,61.4,58.3,65.2,28.5,27.2,28.8,10.1,13,7.6,-1764.3,-1673.1,-1871.7,-817.6,-782.3,-826.5,-290,-217.9,-372.4
Estonia,Digestive diseases,DALYs,1607,127,276.7,90.7,-101.1,-265.8,-37.1,74.2,46.5,89.1,2040.4,1457,4447.1,-1625,-4271.4,-596.9,1191.6,1431.3,746.9
Estonia,Neurological disorders,DALYs,4163.5,-10.2,-31.7,0.5,79,68.1,95.9,31.2,31.4,35.8,-424.4,-1319.2,21.8,3289.6,2835.8,3991.8,1298.3,1305.8,1490.9
Estonia,Mental disorders,DALYs,-6047.6,-239.8,-2434.9,2048.3,227.8,-1194,1795.8,112,-754.3,739,14503.7,-123874.8,147252,-13779.5,-108605,72207,-6771.8,-44694.6,45620.2
Estonia,Substance use disorders,DALYs,6131.6,20.5,17.7,22.4,-4.6,-7.7,2.1,84.1,75.5,89.9,1254.9,1087.2,1375.6,-282.4,-470.1,127.8,5159.1,4628.2,5514.6
Estonia,Diabetes and kidney diseases,DALYs,8083.9,30.2,29.9,30.4,45,44.9,45.1,24.8,24.5,25.3,2441,2414.5,2460,3640.2,3627.4,3643.3,2002.7,1980.6,2042
Estonia,Skin and subcutaneous diseases,DALYs,-1761.4,3.3,-47.2,13.9,110.4,271,76.3,-13.8,-123.8,9.8,-58.9,-244.9,831.9,-1945.1,-1343.5,-4773.4,242.6,-173.1,2180
Estonia,Musculoskeletal disorders,DALYs,2253.4,-115.8,-45.6,-484.7,207.6,125.7,618.5,8.2,-33.7,19.8,-2609.9,-1026.4,-10923.2,4678.7,13936.3,2833.2,184.5,-759.8,446.6
Estonia,Injuries,DALYs,-82268.8,8.2,6.6,9.4,23.1,22.1,23,68.7,67.6,71.2,-6758.3,-5469.4,-7720.4,-19009.6,-18204.2,-18941.4,-56501,-55607,-58595.3
Estonia,Transport injuries,DALYs,-24515.5,13.3,12.1,14.4,22.4,20.2,22.2,64.3,63.4,67.8,-3265.4,-2960.5,-3535.3,-5496.5,-4940.8,-5444.6,-15753.5,-15535.6,-16614.1
Estonia,Self-harm and interpersonal violence,DALYs,-20359.1,7.6,10.2,4.3,21.4,20.6,22.4,71,67.4,75,-1549,-2071.7,-882.3,-4354.2,-4203.9,-4559,-14455.8,-13728.4,-15272.9
Estonia,Unintentional injuries,DALYs,-37394.3,4.5,2.6,6.3,25,22.9,24.1,70.5,69.6,74.5,-1672.1,-2342.6,-975.3,-9353.7,-8557.7,-9021.8,-26368.6,-26029.9,-27861.3
Estonia,Sense organ diseases,DALYs,1591.5,92.6,122.2,79.2,-8.5,-35.3,2.2,16,13,18.6,1473,1260.8,1945.1,-136,-561.1,34.3,254.6,207.5,296.4
Latvia,All causes,DALYs,-381226.3,84.1,103.6,73.2,8.4,-2.9,13.2,7.5,-0.7,13.6,-320659.6,-278899.9,-395117.7,-31985,-50300.7,11038.2,-28581.7,-52025.7,2853.3
Latvia,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-35656.6,25.3,23.2,26.8,36,35.7,37.5,38.7,37.5,39.2,-9020.2,-8285.3,-9542.8,-12853.5,-12733.9,-13376.6,-13782.8,-13379.9,-13994.7
Latvia,HIV/AIDS and sexually transmitted infections,DALYs,3499,6.3,-21.2,15,-29.9,-102,-7.8,123.7,223.3,92.8,219.7,-743.4,524.1,-1047.7,-271.8,-3569.8,4327,3246.7,7812.2
Latvia,Respiratory infections and tuberculosis,DALYs,-9058.3,-3.1,-16.7,4.4,51.3,49,56.5,51.9,46.6,60.2,285.3,-396.7,1510.4,-4646.4,-4436.2,-5114,-4697.2,-4225.4,-5454.7
Latvia,Enteric infections,DALYs,-2186.2,25.8,25,26.4,43.9,43.7,45.2,30.3,29.8,29.9,-563.5,-546.9,-577.8,-959.2,-954.4,-988.6,-663.4,-650.6,-654
Latvia,Neglected tropical diseases and malaria,DALYs,-423.4,228.2,-396.7,929.3,-76.7,-538.9,311.6,-51.4,-290.3,185.1,-966.1,-3934.9,1679.7,324.9,-1319.3,2282.1,217.8,-783.8,1229.4
Latvia,Maternal and neonatal disorders,DALYs,-17924.3,30.4,29.1,31.3,31.4,31.1,31.6,38.3,37.1,39.8,-5441.3,-5224,-5617.7,-5625.4,-5567.6,-5657.1,-6857.6,-6649.5,-7132.7
Latvia,Nutritional deficiencies,DALYs,-3962.9,-16.3,-35.2,-6.6,45.2,45,45.4,71.1,61.5,89.8,645.9,1396.9,260,-1791.3,-1784.9,-1800.3,-2817.6,-2438,-3559.5
Latvia,Non-communicable diseases,DALYs,-200654,62.5,58.2,68.5,16.1,10.2,19,21.4,21.3,22.8,-125374.3,-116860.1,-137460,-32351.8,-20528.5,-38070.4,-42927.9,-42665.5,-45723.5
Latvia,Neoplasms,DALYs,-28710.6,-100.9,-36.5,-476.4,133.9,404.4,90.9,67,172,45.5,28957,10470.6,136775.9,-38435.9,-116106.7,-26104,-19231.7,-13077.2,-49379.9
Latvia,Cardiovascular diseases,DALYs,-114372.5,48.3,47.1,49.7,28.3,27.4,28.5,23.4,22.9,24.4,-55191.2,-53833.3,-56886.9,-32419.3,-31304.9,-32636.5,-26762,-26180.7,-27902.7
Latvia,Chronic respiratory diseases,DALYs,-12415.1,49.2,47.9,50.7,30.4,30.1,30.3,20.4,19.2,21.9,-6114.4,-5941.1,-6290.5,-3773.7,-3740.1,-3758.5,-2527.1,-2384.5,-2715.5
Latvia,Digestive diseases,DALYs,-35.8,174,-1362.2,1315.2,-188.8,-1918.7,2338.7,114.8,-876.5,703.5,-62.3,-471.2,488.1,67.7,-838,687.5,-41.1,-252.1,314.1
Latvia,Neurological disorders,DALYs,-1087.9,-44.9,-12.7,-202.5,118.9,269.2,87,26,25.7,33.4,488.4,138.5,2203.5,-1293.9,-2928.1,-946.5,-282.3,-279.9,-363.2
Latvia,Mental disorders,DALYs,-14199.7,-140.5,-957.2,766.4,248.5,-843.5,1134.6,-8,-77.3,177.1,19950.2,-108826.3,135924.9,-35282.2,-161108,119771.8,1132.3,-25145.2,10983.4
Latvia,Substance use disorders,DALYs,-7549.5,15.5,12.1,17.8,68.6,73.9,77.1,15.9,10.7,8.3,-1171.9,-1345.3,-916,-5176.2,-5578,-5823.4,-1201.4,-626.2,-810.1
Latvia,Diabetes and kidney diseases,DALYs,9353.8,28.7,28.2,29.1,49,49.1,49.1,22.4,21.8,22.6,2680.6,2640.1,2719.2,4578.7,4591.7,4597.2,2094.4,2042.9,2116.4
Latvia,Skin and subcutaneous diseases,DALYs,-2568.3,1.8,-17.3,9.2,95.4,140,80.6,2.8,-22.8,10.2,-45.6,-237.3,443.1,-2450.4,-2069.2,-3595.8,-72.3,-261.7,584.4
Latvia,Musculoskeletal disorders,DALYs,-2682.2,-87.5,-33.9,-383.7,201.6,127.5,588,-14.1,-104.3,6.4,2346.2,10292,909.4,-5407.8,-15771.2,-3420.1,379.4,-171.4,2796.9
Latvia,Injuries,DALYs,-144915.7,3.2,-0.6,5.8,34.2,32.3,33.4,62.6,60.7,68.3,-4581.6,-8450.6,808,-49608.7,-46748,-48466.9,-90725.4,-87998.2,-98975.7
Latvia,Transport injuries,DALYs,-50687.7,12.8,11,14.1,27.6,27.3,28.3,59.6,57.6,61.7,-6469.3,-5585.8,-7152.3,-14004.2,-13837.5,-14344.4,-30214.2,-29191,-31264.4
Latvia,Self-harm and interpersonal violence,DALYs,-28408.5,-3,-11.6,2.4,39.4,38.7,42.9,63.5,58.9,68.7,843.6,-673.3,3288.9,-11205.1,-10991.8,-12178.2,-18047,-16743.4,-19519.2
Latvia,Unintentional injuries,DALYs,-65819.5,-5.2,-0.9,-11.6,36.6,35.5,36.9,68.6,64.1,76.2,3422.1,625,7654.8,-24112.1,-23350.3,-24267.2,-45129.4,-42177.2,-50124
Latvia,Sense organ diseases,DALYs,-641.7,119.1,234.5,88.3,-42.5,-12.5,-153.1,23.4,18.7,24.3,-764.5,-1504.6,-566.5,272.8,80.4,982.7,-150,-119.7,-155.6
Lithuania,All causes,DALYs,-299243.7,78.2,69.6,94.3,10.2,-1.2,15.5,11.7,14.9,6.9,-233896.1,-208210.3,-282289,-30432.5,-46512.3,3668,-34915.1,-20622.7,-44521.1
Lithuania,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-37649.6,27.7,26.5,28.6,35.1,34.7,35.6,37.2,36.7,37.9,-10424.9,-10757.7,-9981.8,-13220.4,-13064.8,-13387.1,-14004.2,-13827.2,-14280.7
Lithuania,HIV/AIDS and sexually transmitted infections,DALYs,1323,-16.7,-484.7,496.8,-110.8,-1710.2,1721.9,227.6,-2118.7,2294.9,-221.4,-6412.9,6573.4,-1466.4,-22626.7,22780.9,3010.8,-28031.3,30362.6
Lithuania,Respiratory infections and tuberculosis,DALYs,-5999.7,11.5,14.7,7.3,50.6,48.5,53.5,37.9,36.7,39.2,-688.9,-436.6,-884.1,-3036.5,-2910.8,-3211.4,-2274.3,-2204.8,-2351.7
Lithuania,Enteric infections,DALYs,-1851.4,30.4,30,30.8,42.9,42.2,43.6,26.8,26.5,27,-562,-554.7,-570,-793.4,-781.1,-806.8,-496,-489.9,-500.3
Lithuania,Neglected tropical diseases and malaria,DALYs,-482.6,81.3,72.1,96.2,10.6,17.6,2,8.1,1.8,10.3,-392.3,-348.1,-464.3,-51.1,-84.9,-9.6,-39.2,-49.6,-8.7
Lithuania,Maternal and neonatal disorders,DALYs,-22962.8,31.7,31,32.3,31,30.7,31,37.3,36.7,38.3,-7278.6,-7126.7,-7417.8,-7121.1,-7038.5,-7113,-8563.1,-8432,-8797.6
Lithuania,Nutritional deficiencies,DALYs,-3876.5,-51.9,-175.7,-20.8,61.9,49.2,85,90,190.7,71.6,2012.3,6809.4,806,-2398.6,-1908.1,-3294.4,-3490.1,-2774.4,-7391.4
Lithuania,Non-communicable diseases,DALYs,-120482.1,60.5,57,65.6,17.2,13.2,19.7,22.4,21.1,23.2,-72843.6,-68715.2,-79060.9,-20691.9,-15946.4,-23772,-26946.6,-25474.8,-27994.9
Lithuania,Neoplasms,DALYs,-14749.2,169.9,108.6,549.1,-56.4,-12.9,-306.3,-13.5,-142.8,4.3,-25052.1,-16023.4,-80986.3,8319.1,1906.4,45174.6,1983.8,-632.2,21062.5
Lithuania,Cardiovascular diseases,DALYs,-58251.2,48.4,47.2,49.7,27.6,26.9,28.1,24,23.4,24.7,-28212.5,-27508.1,-28924,-16065.5,-15691.9,-16341.6,-13973.2,-13635.4,-14401.6
Lithuania,Chronic respiratory diseases,DALYs,-20209.4,42.7,42.2,43.1,32.7,32.4,32.5,24.6,24.5,25.2,-8635.1,-8538.3,-8701.2,-6611.1,-6553.8,-6574.4,-4963.2,-4954.4,-5096.7
Lithuania,Digestive diseases,DALYs,21385.3,26.7,25.8,27.6,61.1,58.6,61.7,12.2,12.5,13.8,5710.5,5523.6,5902,13071.5,12527.2,13185.3,2603.3,2676.4,2956
Lithuania,Neurological disorders,DALYs,3147.9,-29.6,-112.9,-6.9,94.8,167.2,74.8,34.8,32.1,45.6,-931.4,-216.9,-3552.8,2984.3,2353.8,5264.7,1095,1011,1435.9
Lithuania,Mental disorders,DALYs,-13372.7,-72,-20.9,-335.4,168.7,106.6,510.9,3.4,-75.5,14.3,9634.9,2798.9,44850.6,-22553.8,-14256.8,-68318.1,-453.8,-1914.7,10094.9
Lithuania,Substance use disorders,DALYs,-13118.9,53,48.7,59.5,13.8,15,8.6,33.2,31.9,36.3,-6953.6,-6390.6,-7803.7,-1811.1,-1125.7,-1971.5,-4354.1,-4189.4,-4756.7
Lithuania,Diabetes and kidney diseases,DALYs,6864.7,15.8,13,18.2,59.6,57.4,63.1,24.7,23.9,24.4,1082.7,1250.9,891.6,4088.7,3939.7,4334.6,1693.3,1638.4,1674.1
Lithuania,Skin and subcutaneous diseases,DALYs,-3460,9.5,-7.6,15.6,89.7,137.1,72.3,0.8,-29.5,12.1,-328,-540.3,264.3,-3104.4,-2501.1,-4744.8,-27.6,-418.6,1020.5
Lithuania,Musculoskeletal disorders,DALYs,492.1,-145.5,-1550.7,2454.9,232.7,-2531.8,1667.6,12.7,-16.9,176.8,-715.8,-7630.4,12080.1,1145.2,-12458.2,8205.7,62.6,-83.3,870.2
Lithuania,Injuries,DALYs,-141112,5.2,1.3,8.2,36.5,36.8,37.1,58.3,55,61.6,-7360.7,-11622.2,-1839.3,-51479.9,-51930.3,-52413.4,-82271.4,-77559.5,-86859.3
Lithuania,Transport injuries,DALYs,-55686.5,0.8,-3.6,4,23.6,23.4,25.7,75.6,70.2,80.3,-468.4,-2248.7,2016.2,-13131.4,-13010,-14331.8,-42086.7,-39106,-44692.7
Lithuania,Self-harm and interpersonal violence,DALYs,-27051,-13.5,-2.7,-35.4,55.6,51.3,69.8,57.9,51.4,65.6,3662.5,721.2,9575.4,-15052.2,-13863.8,-18879,-15661.3,-13908.5,-17747.3
Lithuania,Unintentional injuries,DALYs,-58374.5,10.4,12.4,8,38.9,38.6,39.2,50.7,48.3,53.4,-6084.3,-4675.3,-7262.8,-22714.2,-22555,-22902.7,-29575.9,-28209,-31144.1
Lithuania,Sense organ diseases,DALYs,2747.6,95.9,139.7,78,-14.1,-52.2,1.1,18.2,12.5,20.8,2635.2,2144.4,3838.1,-388.6,-1435.2,31,501,344.7,572.3
Republic of Moldova,All causes,DALYs,-389262,94,164.6,73.1,13.1,-20.2,22.4,-7.2,-44.4,4.5,-366036.6,-284650,-640593.1,-51102.7,-87070.9,78593.2,27877.4,-17541.1,172738
Republic of Moldova,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-124881.7,32.8,32.1,33.4,32.4,31.9,32,34.8,34.6,36,-40947.4,-40035.2,-41699.3,-40443.7,-39828.6,-40020.5,-43490.6,-43161.9,-45017.9
Republic of Moldova,HIV/AIDS and sexually transmitted infections,DALYs,5555.5,43.9,39.5,56.8,63.4,54.5,86.7,-7.3,-43.5,6,2438.5,2194.2,3153.7,3524.2,3025.5,4819.1,-407.2,-2417.3,335.8
Republic of Moldova,Respiratory infections and tuberculosis,DALYs,-48813.8,31.7,31.1,32.2,31.9,31.9,32.6,36.4,35.9,36.3,-15475.7,-15176.3,-15718.1,-15578.4,-15549.4,-15932,-17759.8,-17546.3,-17705.5
Republic of Moldova,Enteric infections,DALYs,-9371.1,32.6,32.1,32.9,31.6,31.6,31.7,35.8,35.5,36.2,-3056,-3011.7,-3082.8,-2963.3,-2960.4,-2971,-3351.8,-3327.9,-3388.4
Republic of Moldova,Neglected tropical diseases and malaria,DALYs,-1366.9,58,53.9,64.2,37.6,35.5,36.9,4.3,-1.1,10.6,-793.1,-736.5,-877.8,-514.7,-485.3,-504.7,-59.2,-145.1,15.5
Republic of Moldova,Maternal and neonatal disorders,DALYs,-50606.8,35.3,34.3,36.4,30.9,31,31,33.8,32.6,34.8,-17866.2,-17339,-18434.1,-15622.9,-15664.3,-15669.7,-17117.8,-16503.1,-17603.5
Republic of Moldova,Nutritional deficiencies,DALYs,-7785.2,7.3,-3.9,13,31.9,28.9,33,60.9,54,75,-565.7,-1013.4,300.8,-2480.7,-2246.6,-2566.8,-4738.8,-4204.9,-5839.4
Republic of Moldova,Non-communicable diseases,DALYs,-111492.5,54.5,51.5,59.3,24.7,22.3,26.4,20.9,18.4,22.1,-60719.7,-57364.7,-66120.2,-27520.8,-24832,-29449.1,-23252,-20540.3,-24678.7
